imdb_id,question
tt7026230,What is the main theme of Patton Oswalt: Annihilation?
tt7026230,Who directed the movie Patton Oswalt: Annihilation?
tt7026230,What personal experiences does Patton Oswalt focus on in his standup in this film?
tt7026230,How long is the runtime of Patton Oswalt: Annihilation?
tt7026230,What is the IMDb rating for Patton Oswalt: Annihilation?
tt0436629,What is the main story of the film 'New York Doll'?
tt0436629,Who directed the documentary 'New York Doll'?
tt0436629,What is the runtime of the movie 'New York Doll'?
tt0436629,In which year was 'New York Doll' released?
tt0436629,What is the IMDb rating for 'New York Doll'?
tt0300195,What is the central theme of Mickey's Magical Christmas: Snowed in at the House of Mouse?
tt0300195,Who directed the movie and who are the main writers involved?
tt0300195,Can you tell me about the cast featured in this film?
tt0300195,What is the runtime of this movie and what genres does it belong to?
tt0300195,Where can I find the trailer for Mickey's Magical Christmas: Snowed in at the House of Mouse?
tt0329374,What is the year of release for Mickey's House of Villains?
tt0329374,Who directed the movie Mickey's House of Villains?
tt0329374,Can you provide a brief summary of Mickey's House of Villains?
tt0329374,What genres does Mickey's House of Villains fall under?
tt0329374,Where can I find the trailer for Mickey's House of Villains?
tt2018111,What is the main theme explored in 'And Then I Go'?
tt2018111,Who directed the movie 'And Then I Go' and what is its runtime?
tt2018111,Can you provide a brief summary of the plot of 'And Then I Go'?
tt2018111,What is the IMDb rating for 'And Then I Go' and what year was it released?
tt2018111,Who are the main cast members in 'And Then I Go'?
tt0208185,What challenges does Max face as he goes to college in 'An Extremely Goofy Movie'?
tt0208185,How does Goofy contribute to Max's college experience despite his embarrassing presence?
tt0208185,Who is the librarian that Goofy meets and what connection does she have with him?
tt0208185,What event tests the father-son relationship between Max and Goofy in the movie?
tt0208185,What is the runtime of 'An Extremely Goofy Movie' and what genres does it belong to?
tt5117670,What is the main premise of the movie Peter Rabbit?
tt5117670,Who are the main characters in Peter Rabbit and who voices them?
tt5117670,What genre does the movie Peter Rabbit belong to?
tt5117670,How long is the runtime of Peter Rabbit?
tt5117670,Who directed the movie Peter Rabbit and who wrote its screenplay?
tt0996605,What is the primary relationship dynamic explored in the movie 'Love Songs'?
tt0996605,Who directed the film 'Love Songs' and who were the main cast members?
tt0996605,What year was 'Love Songs' released and how long is its runtime?
tt0996605,How does the film 'Love Songs' portray themes of love and loss?
tt0996605,What contrasts are depicted in 'Love Songs' between the musical elements and the story's narrative?
tt7614404,What is the main story that the movie '89' focuses on?
tt7614404,Who directed the movie '89' and who is one of the notable cast members?
tt7614404,"In what year was the movie '89' released, and what significant football event does it depict?"
tt7614404,How long is the runtime of the movie '89' and what rating does it hold?
tt7614404,"Is there a trailer available for the movie '89', and if so, where can I find it?"
tt2057931,What is the main premise of The Foster Boy released in 2011?
tt2057931,Who directed the movie and who are the main actors involved?
tt2057931,"How does Max, the protagonist, end up with the Bösiger family?"
tt2057931,What themes are explored in the movie regarding bullying and abuse?
tt2057931,"Is there a trailer available for The Foster Boy, and where can I find it?"
tt4103724,What is the main plot of Forever My Girl?
tt4103724,Who directed the movie Forever My Girl?
tt4103724,What genre does Forever My Girl belong to?
tt4103724,How long is the runtime of Forever My Girl?
tt4103724,Can you provide the IMDb ID for Forever My Girl?
tt7379330,What is the main theme of Tom Segura: Disgraceful?
tt7379330,Who directed the movie Tom Segura: Disgraceful?
tt7379330,In which year was Tom Segura: Disgraceful released?
tt7379330,Can you provide the IMDB ID for Tom Segura: Disgraceful?
tt7379330,What genres does Tom Segura: Disgraceful belong to?
tt5818010,What year was the movie 'The Secret Rules of Modern Living: Algorithms' released?
tt5818010,Who directed the documentary about algorithms?
tt5818010,Can you provide a brief summary of the movie's content?
tt5818010,What is the runtime of the film?
tt5818010,What is the IMDb rating for 'The Secret Rules of Modern Living: Algorithms'?
tt2522908,What is the main plot of the movie Secrets in the Fall?
tt2522908,Who directed the movie Secrets in the Fall?
tt2522908,Can you tell me about the cast of Secrets in the Fall?
tt2522908,What year was Secrets in the Fall released?
tt2522908,Is there a trailer available for Secrets in the Fall?
tt7133554,What is the main plot of the movie Silent Night?
tt7133554,Who directed the film Silent Night?
tt7133554,What is the runtime of Silent Night?
tt7133554,Can you provide a link to the trailer for Silent Night?
tt7133554,What are the genres of Silent Night?
